Date,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,VIX.Index,VVIX.Index,SHCOMP.Index,TWSE.Index,SPX.Index,ADS_Index,Google trends,Sentiment Score,Bitcoin Core (BTC) Price
07/06/2019,260.25,0.14472,1.1334,22.89,16.3,86,2827.798,10409.2,2873.34,-0.168057,28,0,7735.65
10/06/2019,260.99,0.14428,1.1312,22.46,15.94,83.86,2852.13,10566.47,2886.73,-0.152298,24,0,7690.62
11/06/2019,260.88,0.14469,1.1326,22.59,15.99,84.95,2925.716,10607.76,2885.72,-0.149166,25,-0.6086,7910.69
12/06/2019,260.45,0.14455,1.1287,22.96,15.91,86.2,2909.38,10615.66,2879.84,-0.147193,25,0,7900.67
13/06/2019,261.56,0.14447,1.1276,23.24,15.82,84.73,2910.74,10561.01,2891.64,-0.146379,24,3.9562,8112.65
14/06/2019,261.51,0.1444,1.1208,23.33,15.28,82.57,2881.974,10524.67,2886.98,-0.146725,26,0,8211.42
17/06/2019,261.68,0.14439,1.1218,23.46,15.35,83.48,2887.622,10530.54,2889.67,-0.153969,38,0.1027,9027.35
18/06/2019,265.33,0.14486,1.1194,23.67,15.15,87.37,2890.158,10566.74,2917.75,-0.15746,38,0.25,9282.59
19/06/2019,265.56,0.14485,1.1226,24,14.33,84.58,2917.803,10775.34,2926.46,-0.161366,33,0,9114.93
20/06/2019,268.08,0.14594,1.1293,25.05,14.75,81.21,2987.119,10785.01,2954.18,-0.165689,34,0,9233.78
21/06/2019,267.1,0.14556,1.1369,25.21,15.4,83.14,3001.98,10803.77,2950.46,-0.170429,44,0,9476.23
24/06/2019,267.17,0.14541,1.1399,26.17,15.26,82.59,3008.148,10779.45,2945.35,-0.18774,51,0.34,10885.38
25/06/2019,265.26,0.14535,1.1367,25.63,16.28,85.16,2982.074,10706.72,2917.38,-0.195306,56,0,10932.95
26/06/2019,265.22,0.14535,1.1369,25.52,16.21,85.39,2976.284,10652.55,2913.78,-0.203868,100,0,11560.24
27/06/2019,265.15,0.14541,1.1369,25.33,15.82,86.52,2996.792,10773.9,2924.92,-0.213428,84,0.4489,12805.72
28/06/2019,265.85,0.14563,1.1373,25.56,15.08,85.78,2978.878,10730.83,2941.76,-0.22399,64,0,11501.06
01/07/2019,266.97,0.14595,1.1286,24.58,14.06,79.58,3044.903,10895.46,2964.33,-0.262089,100,0,11105.34
02/07/2019,267.66,0.1455,1.1285,25.55,12.93,78.22,3043.943,10865.12,2973.01,-0.275031,96,0,10594.13
03/07/2019,269.56,0.14532,1.1278,25.65,12.57,80.04,3015.263,10743.77,2995.82,-0.286963,87,0,10575.63
04/07/2019,269.56,0.14553,1.1285,25.65,12.57,80.04,3005.249,10775.9,2995.82,-0.297889,84,0,11704.39
05/07/2019,269.27,0.14506,1.1225,25.39,13.28,79.78,3011.059,10785.73,2990.41,-0.307811,76,0,11339.98
08/07/2019,268.06,0.14531,1.1214,25.42,13.96,83.66,2933.363,10751.22,2975.95,-0.33112,75,0,11414.49
09/07/2019,267.86,0.14514,1.1208,25.65,14.09,82.31,2928.229,10702.78,2979.63,-0.336117,92,2.6349,12077.51
10/07/2019,268.69,0.14549,1.1251,26.2,13.03,85.97,2915.302,10798.48,2993.07,-0.339653,95,0,12513.37
11/07/2019,270.92,0.14556,1.1254,25.94,12.93,88.2,2917.761,10843.42,2999.91,-0.341729,87,0,12232.76
12/07/2019,273.39,0.14533,1.127,26.21,12.39,86.14,2930.546,10824.35,3013.77,-0.342346,83,0,11439.22
15/07/2019,273.6,0.1454,1.1258,26.18,12.68,86.2,2942.185,10876.43,3014.3,-0.336146,89,2.3425,10510.07
16/07/2019,273.42,0.14543,1.1211,26.05,12.86,88.25,2937.617,10886.05,3004.04,-0.332341,90,107.3236,10697.58
17/07/2019,272.28,0.14548,1.1224,27.09,13.97,90.35,2931.693,10828.48,2984.42,-0.327782,92,0,9807.99
18/07/2019,272.27,0.14535,1.1277,28.25,13.53,84.04,2901.177,10799.28,2995.11,-0.322469,83,0,9613.57
19/07/2019,271.45,0.14531,1.1221,27.98,14.45,86.77,2924.201,10873.19,2976.61,-0.3164,69,0,10335.07
22/07/2019,271.65,0.14533,1.1209,28.19,13.53,81.22,2886.974,10944.53,2985.03,-0.292804,61,0,10576.56
23/07/2019,273.35,0.14536,1.1152,27.87,12.61,78.99,2899.945,10947.26,3005.47,-0.282023,64,0,10349.86
24/07/2019,272.61,0.14551,1.114,28.15,12.07,83.89,2923.278,10935.76,3019.56,-0.269641,69,0,9955.96
25/07/2019,271.39,0.14551,1.1147,27.43,12.74,84.3,2937.36,10941.41,3003.67,-0.255654,64,0,9743.29
26/07/2019,271.86,0.14537,1.1128,27.28,12.16,83.11,2944.541,10891.98,3025.86,-0.240057,52,0,9922.75
29/07/2019,272.13,0.14507,1.1145,27.77,12.83,88.16,2941.007,10885.73,3020.97,-0.183404,57,0,9452.78
30/07/2019,271.91,0.14525,1.1155,27.83,13.94,91.58,2952.338,10830.9,3013.18,-0.161007,58,0,9522.53
