#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,Lumber prices,WTI Oil
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)"
16/11/2020,299.98,0.15187,1.1852,18.86,7.114444444,181,0.2828,319.8,25.634
17/11/2020,298.31,0.15251,1.1862,20.16,7.81,275.1,0.2989,319.8,25.634
18/11/2020,294.76,0.15243,1.1853,19.64,7.283333333,235,0.2864,319.8,25.634
19/11/2020,295.33,0.15189,1.1875,20.1,7.563333333,274.9996,0.2983,319.8,25.634
20/11/2020,292.53,0.15237,1.1857,21.24,8.694444444,239,0.3131,319.8,25.634
23/11/2020,295.89,0.15184,1.1841,22.13,10.88277778,341,0.5331,319.8,25.634
24/11/2020,300.43,0.15171,1.1892,22.36,12,500,0.6573,319.8,25.634
25/11/2020,298.74,0.152,1.1917,20.865,10.72777778,425,0.6971,319.8,25.634
26/11/2020,298.74,0.15208,1.1913,20.865,10.72777778,425,0.5211,319.8,25.634
27/11/2020,299.24,0.15202,1.1963,18.835,9.451111111,300,0.5257,319.8,25.634
30/11/2020,296.62,0.152,1.1927,23.1935,11.44444444,448,0.652,319.8,25.634
01/12/2020,298.44,0.15215,1.2071,23.74,12.11111111,448,0.6441,319.8,25.634
02/12/2020,299.18,0.15237,1.2115,23.39,12.47333333,300,0.6125,319.8,25.634
03/12/2020,300.06,0.15284,1.2144,24,14.05,215,0.6309,319.8,25.634
04/12/2020,302.59,0.1531,1.2121,23.22,13.56111111,223,0.5954,319.8,25.634
07/12/2020,301.1,0.15314,1.2109,22.46,14.77722222,258,0.6106,319.8,25.634
08/12/2020,302.2,0.15307,1.2104,20.96,13.84444444,234.99,0.5897,319.8,25.634
09/12/2020,300.88,0.15282,1.2081,20.07,13.18888889,221,0.5503,319.8,25.634
10/12/2020,300.54,0.15281,1.2138,21.47,13.55444444,200,0.5612,319.8,25.634
11/12/2020,300.93,0.15276,1.2112,20.61,12.9,200.5,0.5565,319.8,25.634
14/12/2020,299.1,0.15268,1.2144,22.27,14.91,221.0099,0.5006,319.8,25.634
15/12/2020,302.62,0.15292,1.2151,23.255,16.22222222,243.75,0.4726,319.8,25.634
16/12/2020,302.15,0.15307,1.22,25.81,19.48777778,265,0.5032,319.8,25.634
17/12/2020,303.49,0.15306,1.2268,28.25,18.22222222,330,0.6003,319.8,25.634
18/12/2020,301.9,0.15291,1.2257,29.48,20.15,329.48,0.5637,319.8,25.634
