,Annual.Hash.Growth,Block.Height,Block.Interval,Block.Size,Daily.Transactions,Difficulty,Fee.Percentage,Fee.Rate,Two.Week.Hash.Growth,Hash.Rate,Inflation.Rate,Price.Volatility,Bitcoin.Core..BTC..Price,Quarterly.Hash.Growth,Total.Transactions,Transaction.Size,Avg..UTXO.Amount,Velocity...Daily,Velocity...Quarterly,Velocity.of.Money,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,SHCOMP.Index,TWSE.Index,ADS_Index,Google.trends,Lumber.prices,WTI.Oil,Sentiment.Score,label,std_BTC_returns
14/03/2015,0.017128632,0.000420304,-0.108597285,-0.132904624,0.038606162,0,0.145544177,0.041666667,-0.062234185,0.000312718,-3.52E-05,0.032930531,-0.028437627,-0.049653404,0.001562615,-0.104519774,-0.000126534,-0.097543417,0.002411608,0.000269227,0,0,0,0,0,0,0,-0.018867925,0,0,0.0001,-1.341250437,2.697454838
15/03/2015,-0.021866631,0.000376963,0.116751269,0.066296822,-0.060529077,0,0.057213643,-0.04,-0.728819854,-0.006667507,-0.00093218,0.010304715,-0.013412504,-0.127661923,0.001465741,-0.02681388,-0.003669957,-0.144412378,0.001609778,0.000499858,0,0,0,0,0,0,0,-0.038461538,0,0,0.0001,0.796572966,1.935891693
16/03/2015,-0.024563482,0.000411339,-0.092424242,-0.145366675,-0.086905114,0,0.328177768,0,-0.423001712,-0.012820513,-0.000827421,-0.046376228,0.00796573,0.059767326,0.001336402,0.069692058,-0.004191541,-0.291481581,-0.003538769,-0.000312255,0.012502816,-0.000438157,0.006859756,0.002213614,0.022649278,-0.006935752,-0.031370473,0.08,-0.016423358,-0.021409456,0.3565,1.924765551,1.496060205
17/03/2015,-0.032642238,0.000399669,0.03672788,0.254036439,0.267688213,0,-0.226602343,0.041666667,-7.085793941,-0.004995005,-0.000713581,-0.123262036,0.019247656,-0.038473226,0.00169188,-0.031818182,-0.000510204,0.667473139,-0.000683632,0.001696316,-0.007119813,0.001941261,0.002744133,-0.00993926,0.015522547,0.002788842,-0.011329352,-0.037037037,0.013358071,-0.001686418,0.0001,-1.357731142,1.853010336
18/03/2015,-0.022011668,0.000367893,0.064412238,-0.034627553,-0.055812502,0,0.167252113,0.08,2.834105359,-0.024096386,-0.000608299,-0.047753938,-0.013577311,-0.049911397,0.001594754,-0.122065728,-0.000893313,-0.191258591,-0.003869162,0.000570878,0.012492997,0.00325,0.02519581,0.050752928,0.021255567,0.011949339,-0.011690021,0.134615385,0.020505309,0.037666073,0.0001,-8.649781659,1.902403599
19/03/2015,0.002293205,0.000439586,-0.15128593,-0.107237024,-0.013693553,0,-0.487483869,-0.037037037,-0.237757175,-0.001028807,-0.000441065,0.241671429,-0.086497817,0.142025542,0.001570412,0.210338681,0.001149572,0.99946775,0.00397338,-0.004204823,-0.005920434,0.005731373,-0.018777614,-0.006900212,0.001389036,0.008629057,-0.012063917,0.016949153,0.005382131,-0.01218761,0.0001,-0.917817125,4.120493563
20/03/2015,-0.007083761,0.000396315,0.115864528,0.223351795,0.085800469,0,0.587570745,0,-0.459647923,0.007209063,-0.001041372,-0.009645519,-0.009178171,0.082996983,0.00170248,-0.044182622,0.001403419,-0.295086242,0.001933669,-0.000187777,0.00723589,-0.001672448,0.015103189,0.03313736,0.009783459,0.001331042,-0.012455955,-0.166666667,0.002141328,0.033361543,0.0001,0.903161064,4.134691669
21/03/2015,-0.062572186,0.000387546,0.023961661,-0.104265975,-0.042802757,0,0.298221137,0.115384615,0.257288184,-0.011247444,-0.001263318,-0.008958754,0.009031611,0.018701643,0.00162684,-0.087827427,-0.000764429,-0.253670322,0.000812761,0.000149287,0,0,0,0,0,0,0,-0.06,0,0,0.0001,-0.807099415,4.1506439
22/03/2015,0.018301799,0.000433309,-0.110764431,-0.128544627,-0.058465988,0,0.056659536,-0.103448276,-0.626077509,0.020682523,-0.000672263,0.001896701,-0.008070994,0.18565751,0.001529237,0.016891892,-0.003570062,-0.188299094,-0.003537805,3.85E-05,0,0,0,0,0,0,0,0,0,0,0.0001,2.764923646,3.725488021
23/03/2015,-0.043051829,0.000407306,0.059649123,0.087452054,-0.06433835,-0.014970312,0.254923408,-0.076923077,1.583002638,-0.003166955,-0.001699491,0.009718476,0.027649236,-0.123443781,0.001428664,0.136212625,-0.002943058,-0.244291172,-0.005521145,1.93E-05,-0.000607869,-0.00167525,0.011551613,0.021727884,0.019464697,0.000861566,-0.038513313,0.042553191,-0.017806268,0.02262931,0.0001,-0.146346955,4.352507618
24/03/2015,-0.049175864,0.000415742,-0.014900662,0.051145759,0.136726159,0,-0.251502408,0.208333333,-0.439997277,0.003892067,-0.001134923,0.000345315,-0.00146347,-0.007026664,0.001621683,-0.080409357,-0.001155031,0.755578375,-0.004674178,0.001559965,-0.005640033,0.001305158,-0.002009867,-0.00556962,0.000998447,-0.002708522,-0.012423717,0,0.036258158,0.001264489,0.0001,-5.956407366,1.527252808
25/03/2015,0.01357866,0.000495817,-0.16302521,-0.28019715,-0.094284571,0,-0.275435156,-0.068965517,-2.416769303,0.042938124,-2.66E-05,0.067469679,-0.059564074,0.093760993,0.001466405,-0.028616852,0.00025697,0.099721123,0.002061387,0.000749924,-0.01618195,-0.001179318,0.004210912,-0.014256619,-0.008312,-0.006559004,-0.011967373,0.142857143,0.006298111,0.035781941,0.0001,-2.34965035,3.259996357
26/03/2015,-0.015934199,0.000464061,0.06626506,0.088239117,0.060108819,0,0.045896069,0.148148148,-0.367934841,0.006382606,-0.000266307,0.012225449,-0.023496503,-0.113924844,0.001552272,-0.037643208,-0.000513809,0.120753121,0.001977967,0.001503528,-0.002487,0.000807855,-0.007839562,-0.014979339,0.005837092,-0.005038359,-0.011498987,-0.071428571,-0.005563282,0.045112782,0.0001,1.825101281,3.196926654
27/03/2015,-0.013837837,0.00042376,0.099811676,0.156140489,0.032441003,0,-0.017529907,-0.129032258,0.387431526,0.007508903,-0.000781375,0.005393108,0.018251013,-0.039887813,0.001600146,-0.039115646,-0.000257036,-0.073433383,0.002679298,0.001414936,0.0018699,-0.001179758,0.00045939,-0.012060829,0.002444532,-0.011996939,-0.011010014,-0.153846154,-0.011888112,-0.049776395,0.0001,-0.703291404,3.500473714
28/03/2015,0.020269049,0.000489408,-0.143835616,-0.193108698,-0.03004351,0,-0.037839395,0,1.380115043,0.032016224,-0.000399879,0.000718704,-0.007032914,0.085736168,0.001549592,-0.038938053,-0.00102841,-0.014388811,0.003119726,0.000258639,0,0,0,0,0,0,0,-0.068181818,0,0,0.0001,1.784847013,2.919723976
29/03/2015,-0.034053481,0.000423374,0.15,0.169665689,-0.09583494,0,0.428745597,-0.074074074,0.034753417,-0.004838615,-0.000826748,0.004008117,0.01784847,-0.211891691,0.001398919,0.239410681,-0.001930254,-0.354100023,-0.000753047,-0.000780506,0,0,0,0,0,0,0,0.12195122,0,0,0.0001,-2.918605114,3.247315505
