Date,Trend
10-04-2017,15
11-04-2017,17
12-04-2017,15
13-04-2017,16
14-04-2017,15
15-04-2017,14
16-04-2017,14
17-04-2017,15
18-04-2017,17
19-04-2017,15
20-04-2017,15
21-04-2017,16
22-04-2017,15
23-04-2017,13
24-04-2017,15
25-04-2017,17
26-04-2017,18
27-04-2017,18
28-04-2017,18
29-04-2017,17
30-04-2017,17
01-05-2017,20
02-05-2017,22
03-05-2017,22
04-05-2017,28
05-05-2017,26
06-05-2017,23
07-05-2017,22
08-05-2017,24
09-05-2017,30
10-05-2017,28
11-05-2017,31
12-05-2017,36
13-05-2017,38
14-05-2017,32
15-05-2017,46
16-05-2017,40
17-05-2017,33
18-05-2017,30
19-05-2017,33
20-05-2017,33
21-05-2017,34
22-05-2017,62
23-05-2017,66
24-05-2017,73
25-05-2017,100
26-05-2017,79
27-05-2017,62
28-05-2017,42
29-05-2017,41
30-05-2017,41
31-05-2017,41
01-06-2017,39
02-06-2017,34
03-06-2017,33
04-06-2017,31
05-06-2017,35
06-06-2017,54
07-06-2017,46
08-06-2017,38
09-06-2017,37
10-06-2017,34
11-06-2017,36
12-06-2017,52
13-06-2017,45
14-06-2017,41
15-06-2017,56
16-06-2017,39
17-06-2017,33
18-06-2017,32
19-06-2017,32
20-06-2017,34
21-06-2017,36
22-06-2017,35
23-06-2017,33
24-06-2017,33
25-06-2017,31
26-06-2017,37
27-06-2017,44
28-06-2017,41
29-06-2017,33
30-06-2017,30
01-07-2017,5
02-07-2017,5
03-07-2017,5
04-07-2017,5
05-07-2017,5
06-07-2017,5
07-07-2017,5
08-07-2017,5
09-07-2017,5
10-07-2017,5
11-07-2017,6
12-07-2017,6
13-07-2017,5
14-07-2017,5
15-07-2017,6
16-07-2017,6
17-07-2017,6
18-07-2017,6
19-07-2017,6
20-07-2017,6
21-07-2017,6
22-07-2017,5
23-07-2017,5
24-07-2017,5
25-07-2017,6
26-07-2017,5
27-07-2017,5
28-07-2017,6
29-07-2017,5
30-07-2017,5
31-07-2017,6
01-08-2017,13
02-08-2017,12
03-08-2017,7
04-08-2017,6
05-08-2017,8
06-08-2017,7
07-08-2017,9
08-08-2017,9
09-08-2017,8
10-08-2017,7
11-08-2017,8
12-08-2017,9
13-08-2017,11
14-08-2017,14
15-08-2017,14
16-08-2017,11
17-08-2017,11
18-08-2017,11
19-08-2017,10
20-08-2017,9
21-08-2017,10
22-08-2017,10
23-08-2017,10
24-08-2017,9
25-08-2017,9
26-08-2017,7
27-08-2017,7
28-08-2017,8
29-08-2017,10
30-08-2017,10
31-08-2017,11
01-09-2017,12
02-09-2017,11
03-09-2017,10
04-09-2017,12
05-09-2017,12
06-09-2017,11
07-09-2017,10
08-09-2017,10
09-09-2017,8
10-09-2017,8
11-09-2017,10
12-09-2017,10
13-09-2017,13
14-09-2017,17
15-09-2017,18
16-09-2017,12
17-09-2017,9
18-09-2017,11
19-09-2017,11
20-09-2017,9
21-09-2017,9
22-09-2017,8
23-09-2017,6
24-09-2017,6
25-09-2017,7
26-09-2017,7
27-09-2017,7
28-09-2017,7
29-09-2017,7
30-09-2017,6
01-10-2017,6
02-10-2017,7
03-10-2017,7
04-10-2017,7
05-10-2017,6
06-10-2017,6
07-10-2017,6
08-10-2017,6
09-10-2017,8
10-10-2017,9
11-10-2017,8
12-10-2017,15
13-10-2017,18
14-10-2017,12
15-10-2017,11
16-10-2017,12
17-10-2017,11
18-10-2017,11
19-10-2017,11
20-10-2017,13
21-10-2017,15
22-10-2017,11
23-10-2017,14
24-10-2017,15
25-10-2017,13
26-10-2017,13
27-10-2017,11
28-10-2017,9
29-10-2017,10
30-10-2017,12
31-10-2017,14
01-11-2017,17
02-11-2017,24
03-11-2017,22
04-11-2017,17
05-11-2017,16
06-11-2017,17
07-11-2017,16
08-11-2017,18
09-11-2017,16
10-11-2017,20
11-11-2017,19
12-11-2017,25
13-11-2017,21
14-11-2017,17
15-11-2017,17
16-11-2017,17
17-11-2017,20
18-11-2017,15
19-11-2017,15
20-11-2017,19
21-11-2017,20
22-11-2017,17
23-11-2017,16
24-11-2017,15
25-11-2017,17
26-11-2017,24
27-11-2017,33
28-11-2017,39
29-11-2017,61
30-11-2017,50
01-12-2017,38
02-12-2017,29
03-12-2017,29
04-12-2017,34
05-12-2017,34
06-12-2017,48
07-12-2017,97
08-12-2017,88
09-12-2017,57
10-12-2017,55
11-12-2017,62
12-12-2017,60
13-12-2017,54
14-12-2017,46
15-12-2017,42
16-12-2017,43
17-12-2017,48
18-12-2017,46
19-12-2017,51
20-12-2017,69
21-12-2017,51
22-12-2017,100
23-12-2017,61
24-12-2017,46
25-12-2017,41
26-12-2017,40
27-12-2017,39
28-12-2017,38
29-12-2017,33
30-12-2017,34
31-12-2017,27
01-01-2018,44
