#NAME?,GDX US Equity,VIX Index,VVIX Index,SHCOMP Index,TWSE Index,SPX Index,,,,,,
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)",,,,,,
10/08/2016,31.3,12.05,89.4,3018.746,9200.42,2175.49,,,,,,
11/08/2016,31.04,11.68,97.36,3002.637,9131.83,2185.79,,,,,,
12/08/2016,31.05,11.55,94.49,3050.668,9150.39,2184.05,,,,,,
15/08/2016,30.86,11.81,91.67,3125.195,9148.51,2190.15,,,,,,
16/08/2016,30.81,12.64,91.86,3110.037,9110.36,2178.15,,,,,,
17/08/2016,30.37,12.19,84.84,3109.555,9117.7,2182.22,,,,,,
18/08/2016,30.75,11.43,82.83,3104.114,9122.5,2187.02,,,,,,
19/08/2016,29.96,11.34,82.44,3108.102,9034.27,2183.87,,,,,,
22/08/2016,29.46,12.27,83.13,3084.805,8981.81,2182.64,,,,,,
23/08/2016,29.02,12.38,83.45,3089.706,9030.93,2186.9,,,,,,
24/08/2016,26.97,13.45,85.37,3085.88,9017.38,2175.44,,,,,,
25/08/2016,27.31,13.63,85.43,3068.329,9115.47,2172.47,,,,,,
26/08/2016,27.18,13.65,88.62,3070.309,9131.72,2169.04,,,,,,
29/08/2016,27.24,12.94,85.83,3070.027,9110.17,2180.38,,,,,,
30/08/2016,25.9,13.12,84.44,3074.677,9110.56,2176.12,,,,,,
31/08/2016,25.49,13.42,84.87,3085.491,9068.85,2170.95,,,,,,
01/09/2016,26.42,13.48,84.9,3063.305,9001.15,2170.86,,,,,,
02/09/2016,27.35,11.98,81.35,3067.352,8987.55,2179.98,,,,,,
05/09/2016,27.35,11.98,81.35,3072.095,9090.13,2179.98,,,,,,
06/09/2016,28.68,12.02,82.14,3090.713,9181.85,2186.48,,,,,,
07/09/2016,28.52,11.94,83.08,3091.928,9259.07,2186.16,,,,,,
08/09/2016,27.9,12.51,85.57,3095.954,9262.89,2181.3,,,,,,
09/09/2016,26.41,17.5,110.02,3078.855,9164.88,2127.81,,,,,,
12/09/2016,27.04,15.16,99.53,3021.977,8947.06,2159.04,,,,,,
13/09/2016,26.06,17.85,110.02,3023.51,8940.83,2127.02,,,,,,
14/09/2016,26.01,18.14,113.15,3002.849,8902.3,2125.77,,,,,,
15/09/2016,26.18,16.3,109.27,3002.849,8902.3,2147.26,,,,,,
16/09/2016,25.96,15.37,102.59,3002.849,8902.3,2139.16,,,,,,
19/09/2016,26.09,15.53,101.58,3026.051,9152.88,2139.12,,,,,,
20/09/2016,26.06,15.92,101.98,3022.999,9161.58,2139.76,,,,,,
21/09/2016,27.9,13.3,92.59,3025.874,9228.5,2163.12,,,,,,
22/09/2016,27.74,12.02,89.22,3042.313,9235.26,2177.18,,,,,,
23/09/2016,27.02,12.29,90.4,3033.896,9284.62,2164.69,,,,,,
26/09/2016,26.78,14.5,96.24,2980.429,9194.52,2146.1,,,,,,
27/09/2016,26.28,13.1,88.94,2998.172,9194.52,2159.93,,,,,,
28/09/2016,26.91,12.39,87.55,2987.858,9194.52,2171.37,,,,,,
29/09/2016,26.69,14.02,93.78,2998.483,9270.9,2151.13,,,,,,
30/09/2016,26.43,13.29,91.42,3004.703,9166.85,2168.27,,,,,,
03/10/2016,25.96,13.57,91.51,3004.703,9234.2,2161.2,,,,,,
04/10/2016,23.4,13.63,89.94,3004.703,9287.77,2150.49,,,,,,
05/10/2016,23.58,12.99,89.88,3004.703,9272.28,2159.73,,,,,,
06/10/2016,22.84,12.84,89.86,3004.703,9284.31,2160.77,,,,,,
07/10/2016,23,13.48,90.86,3004.703,9265.81,2153.74,,,,,,
10/10/2016,23.16,13.38,90.66,3048.143,9265.81,2163.66,,,,,,
11/10/2016,22.58,15.36,95.43,3065.25,9219.82,2136.73,,,,,,
12/10/2016,23.07,15.91,102.02,3058.498,9252.6,2139.18,,,,,,
13/10/2016,23.49,16.69,103.4,3061.346,9219.17,2132.55,,,,,,
14/10/2016,22.99,16.12,101.01,3063.809,9165.17,2132.98,,,,,,
17/10/2016,23.34,16.21,99.34,3041.167,9176.22,2126.5,,,,,,
18/10/2016,24.2,15.28,96.87,3083.875,9222.58,2139.6,,,,,,
19/10/2016,24.87,14.41,93.9,3084.719,9283.99,2144.29,,,,,,
20/10/2016,24.81,13.75,89.72,3084.458,9317.24,2141.34,,,,,,
21/10/2016,24.62,13.34,87.34,3090.941,9306.57,2141.16,,,,,,
24/10/2016,24.09,13.02,85.81,3128.247,9322.5,2151.33,,,,,,
25/10/2016,24.65,13.46,86.23,3131.939,9385.65,2143.16,,,,,,
26/10/2016,24.13,14.24,86.9,3116.312,9362.25,2139.43,,,,,,
27/10/2016,23.73,15.36,91.21,3112.35,9299.55,2133.04,,,,,,
28/10/2016,23.81,16.19,99.44,3104.271,9306.92,2126.41,,,,,,
31/10/2016,24.52,17.06,102.82,3100.492,9290.12,2126.15,,,,,,
01/11/2016,25.13,18.56,108.26,3122.436,9272.7,2111.72,,,,,,
02/11/2016,24.76,19.32,112.39,3102.732,9139.04,2097.94,,,,,,
03/11/2016,25.3,22.08,120.24,3128.936,9067.27,2088.66,,,,,,
04/11/2016,25.07,22.51,120.23,3125.317,9068.15,2085.18,,,,,,
07/11/2016,24.08,18.71,107.84,3133.333,9189.84,2131.52,,,,,,
08/11/2016,23.96,18.74,108.67,3147.887,9217.43,2139.56,,,,,,
09/11/2016,24.59,14.38,96.14,3128.37,8943.2,2163.26,,,,,,
10/11/2016,22.75,14.74,102.67,3171.282,9152.18,2167.48,,,,,,
11/11/2016,20.92,14.17,97.22,3196.043,8957.76,2164.45,,,,,,
14/11/2016,21.12,14.48,98.22,3210.371,8940.4,2164.2,,,,,,
15/11/2016,22.02,13.37,91.77,3206.986,8931.03,2180.39,,,,,,
16/11/2016,21.84,13.72,92.45,3205.057,8962.22,2176.94,,,,,,
17/11/2016,21.3,13.35,87.58,3208.452,8995.26,2187.12,,,,,,
18/11/2016,21.05,12.85,86.4,3192.856,9008.79,2181.9,,,,,,
21/11/2016,21.48,12.42,80.75,3218.148,9041.11,2198.18,,,,,,
22/11/2016,21.56,12.41,83.4,3248.352,9133.39,2202.94,,,,,,
23/11/2016,20.5,12.43,82.45,3241.137,9178.23,2204.72,,,,,,
24/11/2016,20.5,12.43,82.45,3241.736,9152.11,2204.72,,,,,,
25/11/2016,20.61,12.34,82.65,3261.938,9159.07,2213.35,,,,,,
