Date,Sentiment
07-03-2011,0.296
07-03-2011,-0.0772
10-03-2011,0.5859
14-03-2011,0
17-03-2011,0
17-03-2011,0
22-03-2011,0.7964
22-03-2011,0
31-03-2011,0.7184
05-04-2011,0.6705
07-04-2011,0.5994
08-04-2011,0.6369
15-04-2011,0.8481
16-04-2011,0.8555
17-04-2011,0.7964
18-04-2011,0.4404
18-04-2011,0
18-04-2011,0
18-04-2011,0
20-04-2011,0.2023
21-04-2011,-0.4767
21-04-2011,-0.4215
21-04-2011,0
21-04-2011,0.5267
21-04-2011,0.4404
21-04-2011,0
21-04-2011,0.4019
21-04-2011,0
21-04-2011,0.2263
25-04-2011,0.4215
25-04-2011,0
27-04-2011,0.3612
27-04-2011,0
27-04-2011,0
28-04-2011,-0.2732
07-05-2011,0
10-05-2011,0
11-05-2011,0
15-05-2011,0
15-05-2011,0
15-05-2011,0
15-05-2011,0
15-05-2011,0
15-05-2011,0
17-05-2011,0.7003
17-05-2011,0
18-05-2011,0.802
20-05-2011,0
21-05-2011,-0.2732
21-05-2011,-0.2732
21-05-2011,-0.2732
21-05-2011,-0.2732
21-05-2011,-0.2732
21-05-2011,-0.2732
21-05-2011,-0.2732
21-05-2011,-0.2732
21-05-2011,-0.2732
21-05-2011,-0.2732
21-05-2011,0
21-05-2011,0
21-05-2011,0
21-05-2011,0
21-05-2011,0
21-05-2011,0
21-05-2011,0
21-05-2011,0
21-05-2011,0
21-05-2011,0
21-05-2011,0
31-05-2011,0
05-06-2011,0
06-06-2011,0
08-06-2011,0.5423
08-06-2011,0.9735
08-06-2011,0.7579
10-06-2011,0.6249
14-06-2011,0
14-06-2011,0
22-06-2011,0.7783
23-06-2011,0
25-06-2011,0.7964
25-06-2011,0
25-06-2011,0
26-06-2011,0
29-06-2011,-0.2023
29-06-2011,0.5994
01-07-2011,0
01-07-2011,0
01-07-2011,0
05-07-2011,0.0516
05-07-2011,0
05-07-2011,0
05-07-2011,0
05-07-2011,0
06-07-2011,0
06-07-2011,0.6705
06-07-2011,0
06-07-2011,0
08-07-2011,0.5106
08-07-2011,0.4215
09-07-2011,0.4404
09-07-2011,0
09-07-2011,0.5859
09-07-2011,0.5859
09-07-2011,0.5859
10-07-2011,0
13-07-2011,0.4019
14-07-2011,0.4939
14-07-2011,0
