,ADS_Index
21/03/1900,0.0840771
21/03/1900,0.146001
21/03/1900,0.212523
21/03/1900,0.283662
21/03/1900,0.359442
21/03/1900,0.439885
21/03/1900,0.525015
21/03/1900,0.605606
21/03/1900,0.681682
21/03/1900,0.753266
21/03/1900,0.820381
21/03/1900,0.883047
21/03/1900,0.941282
21/03/1900,0.995105
21/03/1900,1.04453
21/03/1900,1.08958
21/03/1900,1.13026
21/03/1900,1.16658
21/03/1900,1.19856
21/03/1900,1.22621
21/03/1900,1.24953
21/03/1900,1.26854
21/03/1900,1.28323
21/03/1900,1.29361
21/03/1900,1.29969
21/03/1900,1.30147
21/03/1900,1.29894
21/03/1900,1.29211
21/03/1900,1.28097
21/03/1900,1.26553
21/03/1900,1.24577
21/03/1900,1.2217
21/03/1900,1.1933
21/03/1900,1.16056
21/03/1900,1.12347
21/03/1900,1.088
21/03/1900,1.05413
21/03/1900,1.02184
21/03/1900,0.991134
21/03/1900,0.961998
21/03/1900,0.934423
21/03/1900,0.908401
21/03/1900,0.883923
21/03/1900,0.860982
21/03/1900,0.839571
21/03/1900,0.819683
21/03/1900,0.801314
21/03/1900,0.784456
21/03/1900,0.769105
21/03/1900,0.755255
21/03/1900,0.742904
21/03/1900,0.732047
21/03/1900,0.72268
21/03/1900,0.714802
21/03/1900,0.708408
21/03/1900,0.703499
21/03/1900,0.700071
21/03/1900,0.698124
21/03/1900,0.697658
21/03/1900,0.698672
21/03/1900,0.701166
21/03/1900,0.705142
21/03/1900,0.7106
21/03/1900,0.717543
21/03/1900,0.725971
21/03/1900,0.735889
21/03/1900,0.743987
21/03/1900,0.750268
21/03/1900,0.754734
21/03/1900,0.757387
21/03/1900,0.758226
21/03/1900,0.757253
21/03/1900,0.754466
21/03/1900,0.749866
21/03/1900,0.743451
21/03/1900,0.735218
21/03/1900,0.725166
21/03/1900,0.713291
21/03/1900,0.69959
21/03/1900,0.684058
21/03/1900,0.66669
21/03/1900,0.647482
21/03/1900,0.626428
21/03/1900,0.603521
21/03/1900,0.578753
21/03/1900,0.552119
21/03/1900,0.523609
21/03/1900,0.493214
21/03/1900,0.460926
21/03/1900,0.426734
21/03/1900,0.390629
21/03/1900,0.352599
21/03/1900,0.312632
21/03/1900,0.270716
21/03/1900,0.226839
21/03/1900,0.180987
21/03/1900,0.136736
21/03/1900,0.0940714
21/03/1900,0.0529812
21/03/1900,0.0134524
21/03/1900,-0.0245269
21/03/1900,-0.0609685
21/03/1900,-0.0958832
21/03/1900,-0.129282
21/03/1900,-0.161175
21/03/1900,-0.191572
21/03/1900,-0.220482
21/03/1900,-0.247914
21/03/1900,-0.273876
21/03/1900,-0.298376
21/03/1900,-0.321423
21/03/1900,-0.343022
21/03/1900,-0.36318
21/03/1900,-0.381904
21/03/1900,-0.3992
21/03/1900,-0.415072
21/03/1900,-0.429525
21/03/1900,-0.442564
21/03/1900,-0.454193
21/03/1900,-0.464415
21/03/1900,-0.473234
21/03/1900,-0.480652
21/03/1900,-0.486671
21/03/1900,-0.491294
21/03/1900,-0.494521
21/03/1900,-0.496354
21/03/1900,-0.496793
21/03/1900,-0.495982
21/03/1900,-0.493922
21/03/1900,-0.490612
21/03/1900,-0.486051
21/03/1900,-0.480237
21/03/1900,-0.473168
21/03/1900,-0.464843
21/03/1900,-0.455259
21/03/1900,-0.444413
21/03/1900,-0.432302
21/03/1900,-0.418921
21/03/1900,-0.404267
21/03/1900,-0.388336
21/03/1900,-0.371123
21/03/1900,-0.352621
21/03/1900,-0.332826
21/03/1900,-0.311732
21/03/1900,-0.289332
21/03/1900,-0.265619
21/03/1900,-0.240587
21/03/1900,-0.214226
21/03/1900,-0.186531
21/03/1900,-0.157491
21/03/1900,-0.127098
21/03/1900,-0.0953428
21/03/1900,-0.0622158
21/03/1900,-0.0277068
21/03/1900,0.00819475
21/03/1900,0.0454998
21/03/1900,0.0842198
21/03/1900,0.120996
21/03/1900,0.155841
21/03/1900,0.188763
21/03/1900,0.219775
21/03/1900,0.248884
21/03/1900,0.2761
21/03/1900,0.301431
21/03/1900,0.324885
21/03/1900,0.346469
21/03/1900,0.366189
21/03/1900,0.384053
21/03/1900,0.400064
21/03/1900,0.414228
21/03/1900,0.42655
21/03/1900,0.437033
21/03/1900,0.44568
21/03/1900,0.452494
21/03/1900,0.457476
21/03/1900,0.46063
21/03/1900,0.461955
21/03/1900,0.461451
21/03/1900,0.45912
21/03/1900,0.454959
21/03/1900,0.448968
21/03/1900,0.441145
21/03/1900,0.431488
21/03/1900,0.419993
21/03/1900,0.406657
21/03/1900,0.391476
21/03/1900,0.374446
21/03/1900,0.355561
21/03/1900,0.337735
21/03/1900,0.320964
21/03/1900,0.305243
21/03/1900,0.290566
21/03/1900,0.276929
21/03/1900,0.264329
21/03/1900,0.25276
21/03/1900,0.24222
21/03/1900,0.232705
21/03/1900,0.224213
21/03/1900,0.21674
21/03/1900,0.210285
21/03/1900,0.204846
21/03/1900,0.200421
21/03/1900,0.197008
21/03/1900,0.194607
21/03/1900,0.193216
21/03/1900,0.192836
21/03/1900,0.193467
21/03/1900,0.195107
21/03/1900,0.197759
21/03/1900,0.201422
21/03/1900,0.206099
21/03/1900,0.21179
21/03/1900,0.218496
21/03/1900,0.226221
21/03/1900,0.234966
21/03/1900,0.244735
21/03/1900,0.255529
21/03/1900,0.267353
21/03/1900,0.28021
21/03/1900,0.291952
21/03/1900,0.302583
21/03/1900,0.312105
21/03/1900,0.320522
21/03/1900,0.327837
21/03/1900,0.33405
21/03/1900,0.339166
21/03/1900,0.343184
21/03/1900,0.346106
21/03/1900,0.347934
21/03/1900,0.348667
21/03/1900,0.348306
21/03/1900,0.34685
21/03/1900,0.3443
21/03/1900,0.340655
21/03/1900,0.335913
21/03/1900,0.330073
21/03/1900,0.323133
21/03/1900,0.315091
21/03/1900,0.305945
21/03/1900,0.295692
21/03/1900,0.284328
21/03/1900,0.271851
21/03/1900,0.258256
21/03/1900,0.243539
21/03/1900,0.227696
21/03/1900,0.210722
21/03/1900,0.192612
21/03/1900,0.173359
21/03/1900,0.15296
21/03/1900,0.133344
21/03/1900,0.114505
21/03/1900,0.0964386
21/03/1900,0.0791384
21/03/1900,0.0625992
21/03/1900,0.0468161
21/03/1900,0.0317842
21/03/1900,0.0174989
21/03/1900,0.00395593
21/03/1900,-0.00884895
21/03/1900,-0.0209196
21/03/1900,-0.0322597
21/03/1900,-0.0428728
21/03/1900,-0.052762
21/03/1900,-0.0619303
21/03/1900,-0.0703807
21/03/1900,-0.0781157
21/03/1900,-0.0851375
21/03/1900,-0.0914484
21/03/1900,-0.0970504
21/03/1900,-0.101945
21/03/1900,-0.106134
21/03/1900,-0.109618
21/03/1900,-0.112399
21/03/1900,-0.114477
21/03/1900,-0.115853
21/03/1900,-0.116528
21/03/1900,-0.116502
21/03/1900,-0.115774
21/03/1900,-0.114344
21/03/1900,-0.112212
21/03/1900,-0.1105
21/03/1900,-0.109205
21/03/1900,-0.108328
21/03/1900,-0.107869
21/03/1900,-0.107827
21/03/1900,-0.108202
21/03/1900,-0.108995
21/03/1900,-0.110206
21/03/1900,-0.111835
21/03/1900,-0.113882
21/03/1900,-0.116349
21/03/1900,-0.119235
21/03/1900,-0.122543
21/03/1900,-0.126272
21/03/1900,-0.130424
21/03/1900,-0.135001
21/03/1900,-0.140003
21/03/1900,-0.145433
21/03/1900,-0.151291
21/03/1900,-0.15758
21/03/1900,-0.164302
21/03/1900,-0.171458
21/03/1900,-0.179051
21/03/1900,-0.187083
21/03/1900,-0.195557
21/03/1900,-0.204475
21/03/1900,-0.21384
21/03/1900,-0.223654
21/03/1900,-0.233921
21/03/1900,-0.244644
21/03/1900,-0.254258
21/03/1900,-0.262765
21/03/1900,-0.270168
21/03/1900,-0.27647
21/03/1900,-0.281672
21/03/1900,-0.285775
21/03/1900,-0.288782
21/03/1900,-0.290693
21/03/1900,-0.291508
21/03/1900,-0.291228
21/03/1900,-0.289853
21/03/1900,-0.287382
21/03/1900,-0.283815
21/03/1900,-0.27915
21/03/1900,-0.273387
21/03/1900,-0.266522
21/03/1900,-0.258555
21/03/1900,-0.249483
21/03/1900,-0.239302
21/03/1900,-0.228011
21/03/1900,-0.215605
21/03/1900,-0.202081
21/03/1900,-0.187434
21/03/1900,-0.17166
21/03/1900,-0.154755
21/03/1900,-0.136712
21/03/1900,-0.117527
21/03/1900,-0.0971943
21/03/1900,-0.0757067
21/03/1900,-0.0530581
21/03/1900,-0.0292415
21/03/1900,-0.00571344
21/03/1900,0.0175332
21/03/1900,0.0405056
21/03/1900,0.0632107
21/03/1900,0.0856555
21/03/1900,0.107847
21/03/1900,0.129791
21/03/1900,0.151496
21/03/1900,0.172967
21/03/1900,0.194212
21/03/1900,0.215236
21/03/1900,0.236046
21/03/1900,0.256649
21/03/1900,0.27705
21/03/1900,0.297256
21/03/1900,0.317274
21/03/1900,0.337108
21/03/1900,0.356766
21/03/1900,0.376254
21/03/1900,0.395576
21/03/1900,0.41474
21/03/1900,0.43375
21/03/1900,0.452614
21/03/1900,0.471336
21/03/1900,0.489922
21/03/1900,0.508378
21/03/1900,0.52671
21/03/1900,0.544923
21/03/1900,0.563022
21/03/1900,0.581014
21/03/1900,0.598904
21/03/1900,0.61569
21/03/1900,0.631378
21/03/1900,0.645974
21/03/1900,0.65948
21/03/1900,0.671901
21/03/1900,0.683242
21/03/1900,0.693505
21/03/1900,0.702694
21/03/1900,0.710811
21/03/1900,0.717859
21/03/1900,0.72384
21/03/1900,0.728757
21/03/1900,0.732609
21/03/1900,0.7354
21/03/1900,0.737128
21/03/1900,0.737796
21/03/1900,0.737403
21/03/1900,0.735949
21/03/1900,0.733434
21/03/1900,0.729856
21/03/1900,0.725215
21/03/1900,0.71951
21/03/1900,0.712738
21/03/1900,0.704898
21/03/1900,0.695987
21/03/1900,0.686002
21/03/1900,0.674941
21/03/1900,0.6628
21/03/1900,0.651721
21/03/1900,0.641702
21/03/1900,0.632739
21/03/1900,0.62483
21/03/1900,0.617973
21/03/1900,0.612164
21/03/1900,0.607403
21/03/1900,0.603687
21/03/1900,0.601017
21/03/1900,0.59939
21/03/1900,0.598807
21/03/1900,0.599267
21/03/1900,0.60077
21/03/1900,0.603318
21/03/1900,0.60691
21/03/1900,0.611548
21/03/1900,0.617233
21/03/1900,0.623967
21/03/1900,0.631751
21/03/1900,0.64059
