#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,,,,,,
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)",,,,,,
22/09/2016,183.66,0.15006,1.1208,1.016483516,#N/A,#N/A,#N/A,,,,,,
23/09/2016,182.42,0.15003,1.1226,0.989010989,#N/A,#N/A,#N/A,,,,,,
26/09/2016,180.75,0.15012,1.1254,1.016483516,#N/A,#N/A,#N/A,,,,,,
27/09/2016,182,0.14998,1.1215,0.989010989,#N/A,#N/A,#N/A,,,,,,
28/09/2016,183.1,0.14991,1.1217,0.991868132,#N/A,#N/A,#N/A,,,,,,
29/09/2016,181.22,0.14994,1.1222,0.994505495,#N/A,#N/A,#N/A,,,,,,
30/09/2016,182.78,0.15006,1.1235,0.989010989,#N/A,#N/A,#N/A,,,,,,
03/10/2016,182.32,0.14995,1.1211,0.991758242,#N/A,#N/A,#N/A,,,,,,
04/10/2016,181.48,0.14959,1.1204,0.967032967,#N/A,#N/A,#N/A,,,,,,
05/10/2016,182.66,0.14943,1.1205,0.964835165,#N/A,#N/A,#N/A,,,,,,
06/10/2016,182.52,0.14921,1.1151,0.945054945,#N/A,#N/A,#N/A,,,,,,
07/10/2016,182.22,0.14934,1.1201,0.990659341,#N/A,#N/A,#N/A,,,,,,
10/10/2016,183.12,0.14908,1.1139,1,#N/A,#N/A,#N/A,,,,,,
11/10/2016,181.2,0.1486,1.1054,1.043956044,#N/A,#N/A,#N/A,,,,,,
12/10/2016,181.37,0.1487,1.1007,1.065714286,#N/A,#N/A,#N/A,,,,,,
13/10/2016,180.84,0.14863,1.1056,1.010989011,#N/A,#N/A,#N/A,,,,,,
14/10/2016,181.29,0.14854,1.0972,1.010989011,#N/A,#N/A,#N/A,,,,,,
17/10/2016,180.72,0.14844,1.1,0.978021978,#N/A,#N/A,#N/A,,,,,,
18/10/2016,181.37,0.14855,1.0981,0.989010989,#N/A,#N/A,#N/A,,,,,,
19/10/2016,182,0.14867,1.0974,0.972527473,#N/A,#N/A,#N/A,,,,,,
20/10/2016,181.54,0.14838,1.0929,0.972527473,#N/A,#N/A,#N/A,,,,,,
21/10/2016,181.22,0.14792,1.0884,0.978021978,#N/A,#N/A,#N/A,,,,,,
24/10/2016,181.96,0.14767,1.0882,0.994615385,#N/A,#N/A,#N/A,,,,,,
25/10/2016,181.48,0.14784,1.0889,1.054945055,#N/A,#N/A,#N/A,,,,,,
26/10/2016,181.77,0.14771,1.0908,1.096703297,#N/A,#N/A,#N/A,,,,,,
27/10/2016,181.53,0.1474,1.0897,1.087912088,#N/A,#N/A,#N/A,,,,,,
28/10/2016,181.36,0.14763,1.0985,1.148351648,#N/A,#N/A,#N/A,,,,,,
31/10/2016,181.17,0.14779,1.0981,1.185714286,#N/A,#N/A,#N/A,,,,,,
01/11/2016,180.12,0.14794,1.1055,1.197802198,#N/A,#N/A,#N/A,,,,,,
02/11/2016,179.35,0.14815,1.1098,1.164835165,#N/A,#N/A,#N/A,,,,,,
03/11/2016,179.11,0.14807,1.1105,1.10989011,#N/A,#N/A,#N/A,,,,,,
04/11/2016,178.71,0.14793,1.1141,1.065934066,#N/A,#N/A,#N/A,,,,,,
07/11/2016,182.36,0.14735,1.1041,1.06043956,#N/A,#N/A,#N/A,,,,,,
08/11/2016,183.38,0.14741,1.1026,1.10989011,#N/A,#N/A,#N/A,,,,,,
09/11/2016,185.96,0.14691,1.091,1.14010989,#N/A,#N/A,#N/A,,,,,,
10/11/2016,188.13,0.14695,1.0893,1.087912088,#N/A,#N/A,#N/A,,,,,,
11/11/2016,188.47,0.14687,1.0855,1.10989011,#N/A,#N/A,#N/A,,,,,,
14/11/2016,188.77,0.14606,1.0737,1.098901099,#N/A,#N/A,#N/A,,,,,,
15/11/2016,189.34,0.1458,1.0722,1.153846154,#N/A,#N/A,#N/A,,,,,,
16/11/2016,188.98,0.14552,1.0691,1.17032967,#N/A,#N/A,#N/A,,,,,,
17/11/2016,189.3,0.14511,1.0626,1.176373626,#N/A,#N/A,#N/A,,,,,,
18/11/2016,188.46,0.14518,1.0588,1.192307692,#N/A,#N/A,#N/A,,,,,,
21/11/2016,189.34,0.14512,1.063,1.175824176,#N/A,#N/A,#N/A,,,,,,
22/11/2016,190.02,0.14517,1.0627,1.186813187,#N/A,#N/A,#N/A,,,,,,
23/11/2016,190.59,0.14462,1.0553,1.131868132,#N/A,#N/A,#N/A,,,,,,
24/11/2016,190.59,0.14448,1.0554,1.131868132,#N/A,#N/A,#N/A,,,,,,
25/11/2016,191.3,0.14471,1.0589,1.10989011,#N/A,#N/A,#N/A,,,,,,
28/11/2016,190.78,0.14491,1.0614,1.10978022,#N/A,#N/A,#N/A,,,,,,
29/11/2016,191.19,0.14525,1.065,1.065934066,#N/A,#N/A,#N/A,,,,,,
30/11/2016,191.4,0.14498,1.0589,1.082417582,#N/A,#N/A,#N/A,,,,,,
01/12/2016,191.9,0.14544,1.0661,1.101703297,#N/A,#N/A,#N/A,,,,,,
02/12/2016,191.74,0.14556,1.0664,1.135164835,#N/A,#N/A,#N/A,,,,,,
05/12/2016,192.22,0.14578,1.0764,1.087912088,#N/A,#N/A,#N/A,,,,,,
06/12/2016,192.49,0.14542,1.0718,1.089010989,#N/A,#N/A,#N/A,,,,,,
07/12/2016,195.48,0.14534,1.0753,1.118131868,#N/A,#N/A,#N/A,,,,,,
08/12/2016,196.28,0.14484,1.0615,1.142857143,#N/A,#N/A,#N/A,,,,,,
09/12/2016,197.69,0.14474,1.0561,1.131868132,#N/A,#N/A,#N/A,,,,,,
12/12/2016,198.08,0.14495,1.0635,1.153846154,#N/A,#N/A,#N/A,,,,,,
13/12/2016,199.23,0.14505,1.0626,1.128571429,#N/A,#N/A,#N/A,,,,,,
14/12/2016,198.14,0.1447,1.0536,1.126483516,#N/A,#N/A,#N/A,,,,,,
15/12/2016,198.66,0.14422,1.0414,1.111978022,#N/A,#N/A,#N/A,,,,,,
16/12/2016,198.19,0.14347,1.0451,1.116483516,#N/A,#N/A,#N/A,,,,,,
19/12/2016,198.6,0.14441,1.0402,1.10989011,#N/A,#N/A,#N/A,,,,,,
20/12/2016,199.42,0.144,1.0388,1.10989011,#N/A,#N/A,#N/A,,,,,,
